wl(um),n
0.0509694,0.748106177288
0.0510869,0.746790536072
0.0512047,0.745466618548
0.0513227,0.744144472119
0.0514411,0.742807479854
0.0515596,0.741469974696
0.0516785,0.740118950675
0.0517976,0.738763899128
0.051917,0.737398552655
0.0520367,0.736018150715
0.0521567,0.734640418849
0.0522769,0.73324822014
0.0523974,0.731848288133
0.0525182,0.730436049539
0.0526393,0.729018189495
0.0527606,0.727599490681
0.0528822,0.726161144086
0.0530042,0.724720126458
0.0531263,0.723259803751
0.0532488,0.721796382773
0.0533716,0.720332034927
0.0534946,0.718848177202
0.0536179,0.717358878719
0.0537415,0.715861473182
0.0538654,0.714351009558
0.0539896,0.712832599352
0.054114,0.711301962972
0.0542388,0.709763858754
0.0543638,0.708214885094
0.0544891,0.706653728302
0.0546147,0.705088038968
0.0547406,0.70350622297
0.0548668,0.701919055247
0.0549933,0.700314015552
0.0551201,0.698699623656
0.0552471,0.697079194279
0.0553745,0.695444058995
0.0555022,0.693795957451
0.0556301,0.692143219399
0.0557583,0.69047360156
0.0558869,0.688788984268
0.0560157,0.687100341288
0.0561448,0.685396086938
0.0562743,0.683679108896
0.056404,0.681942304485
0.056534,0.680205943813
0.0566643,0.678453034739
0.056795,0.676679214115
0.0569259,0.674898749583
0.0570571,0.673102041466
0.0571887,0.671295905051
0.0573205,0.6694727123
0.0574526,0.667635933356
0.0575851,0.665785521192
0.0577178,0.663919837645
0.0578509,0.662039284943
0.0579842,0.660144710517
0.0581179,0.658230471661
0.0582519,0.656302938051
0.0583862,0.654361806473
0.0585207,0.652403473712
0.0586557,0.65043118481
0.0587909,0.648437473536
0.0589264,0.6464342084
0.0590622,0.644406278013
0.0591984,0.642361558228
0.0593349,0.640299838123
0.0594716,0.638216549481
0.0596087,0.636121450679
0.0597461,0.634004705004
0.0598839,0.631862235102
0.0600219,0.629704115696
0.0601603,0.627527592734
0.060299,0.625322489128
0.060438,0.623101401271
0.0605773,0.620857235675
0.0607169,0.618585004678
0.0608569,0.616289170631
0.0609972,0.613971754293
0.0611378,0.611629289181
0.0612787,0.609255174711
0.06142,0.606859846815
0.0615616,0.604431573671
0.0617035,0.601974944347
0.0618458,0.599487214966
0.0619883,0.596963912876
0.0621312,0.594413215758
0.0622744,0.591825209723
0.062418,0.589197563371
0.0625619,0.586540032603
0.0627061,0.583841371526
0.0628507,0.581099946861
0.0629956,0.57832207772
0.0631408,0.575503806145
0.0632863,0.572639613992
0.0634322,0.569734053771
0.0635784,0.566785557031
0.063725,0.563796831662
0.0638719,0.560765881812
0.0640191,0.557696875831
0.0641667,0.554587636817
0.0643146,0.551441392933
0.0644629,0.548264611615
0.0646115,0.54505904773
0.0647605,0.541829683398
0.0649097,0.53857934332
0.0650594,0.535319971051
0.0652094,0.532049260683
0.0653597,0.528777176219
0.0655103,0.525523795284
0.0656614,0.522276978642
0.0658127,0.519062261116
0.0659644,0.515878727514
0.0661165,0.512729039014
0.0662689,0.509633077857
0.0664217,0.506590496738
0.0665748,0.503612210509
0.0667283,0.500696857721
0.0668821,0.497853786023
0.0670363,0.495087540115
0.0671908,0.492398001927
0.0673457,0.489788026443
0.0675009,0.48724661699
0.0676566,0.484785005326
0.0678125,0.48239330085
0.0679688,0.480065521135
0.0681255,0.477797555123
0.0682826,0.475586043197
0.06844,0.473423022169
0.0685978,0.471292956111
0.0687559,0.469196528334
0.0689144,0.467113243815
0.0690732,0.465050874879
0.0692325,0.462985345669
0.0693921,0.460919794029
0.069552,0.458841513991
0.0697124,0.456745278023
0.0698731,0.454617954765
0.0700342,0.452458513662
0.0701956,0.450265520084
0.0703574,0.448028301412
0.0705196,0.445740511226
0.0706822,0.443405500544
0.0708451,0.441022896934
0.0710084,0.438582060954
0.0711721,0.436088390687
0.0713362,0.433537464698
0.0715006,0.430933736817
0.0716655,0.428272453215
0.0718307,0.425557270157
0.0719963,0.422792239728
0.0721622,0.419972447049
0.0723286,0.417103618838
0.0724953,0.414189276698
0.0726624,0.411229500252
0.0728299,0.408222567517
0.0729978,0.405176938685
0.0731661,0.402093800624
0.0733348,0.398970730077
0.0735038,0.395813316004
0.0736733,0.392627552842
0.0738431,0.389416464129
0.0740133,0.386174206438
0.0741839,0.382908934912
0.0743549,0.379622480955
0.0745264,0.376318598965
0.0746982,0.372998662624
0.0748704,0.369664373338
0.0750429,0.366321480404
0.0752159,0.362971604136
0.0753893,0.359611249475
0.0755631,0.356252512834
0.0757373,0.352893931632
0.0759119,0.349536161107
0.0760869,0.346185765846
0.0762623,0.342842920914
0.0764381,0.339512696422
0.0766143,0.336194991847
0.0767909,0.332894111315
0.0769679,0.329615341616
0.0771454,0.326359179544
0.0773232,0.323129189576
0.0775015,0.319925967788
0.0776801,0.316755309571
0.0778592,0.313619487331
0.0780387,0.310519567698
0.0782186,0.307462926549
0.0783989,0.304447151108
0.0785796,0.301477377843
0.0787608,0.298555927536
0.0789423,0.295687592962
0.0791243,0.292869740833
0.0793067,0.290107697003
0.0794895,0.287401204316
0.0796728,0.284755005436
0.0798564,0.282167690338
0.0800405,0.279642676085
0.080225,0.277180350176
0.08041,0.274777914328
0.0805953,0.272438141503
0.0807811,0.270161828922
0.0809673,0.267946228024
0.081154,0.265790413866
0.0813411,0.263693782096
0.0815286,0.261652619082
0.0817165,0.259664613135
0.0819049,0.257728121104
0.0820937,0.255840492375
0.082283,0.253997105601
0.0824726,0.252195834318
0.0826628,0.250433421833
0.0828533,0.248707973357
0.0830443,0.247014862657
0.0832357,0.245351930711
0.0834276,0.243719845505
0.0836199,0.242113025013
0.0838127,0.240534586271
0.0840059,0.238981591494
0.0841996,0.23745414411
0.0843937,0.235951839508
0.0845882,0.234476849117
0.0847832,0.2330271608
0.0849787,0.231604177754
0.0851746,0.230208467144
0.0853709,0.228836419421
0.0855677,0.227489678166
0.085765,0.22616520899
0.0859627,0.224860970209
0.0861608,0.223573480768
0.0863595,0.222300704245
0.0865585,0.221038875208
0.0867581,0.219784179272
0.0869581,0.218534118589
0.0871585,0.21728449381
0.0873594,0.21603456934
0.0875608,0.214782200986
0.0877627,0.213526500125
0.087965,0.212267165161
0.0881678,0.211005189389
0.088371,0.209742429445
0.0885747,0.208480622043
0.0887789,0.20722336751
0.0889836,0.205975797906
0.0891887,0.204739039922
0.0893943,0.203519353196
0.0896004,0.202321253879
0.0898069,0.201149527687
0.090014,0.200009243175
0.0902215,0.198905959505
0.0904294,0.197843290582
0.0906379,0.196828232103
0.0908469,0.195864072757
0.0910563,0.194956303328
0.0912662,0.194108133859
0.0914766,0.193322949912
0.0916874,0.192605565648
0.0918988,0.191957338059
0.0921107,0.191381097584
0.092323,0.190878102782
0.0925358,0.190449565347
0.0927491,0.190095748461
0.0929629,0.189817146737
0.0931772,0.1896129587
0.093392,0.189482012422
0.0936073,0.189422859781
0.0938231,0.189434266478
0.0940394,0.189513727178
0.0942562,0.189658733146
0.0944735,0.189867365604
0.0946913,0.19013643962
0.0949095,0.190463557609
0.0951283,0.19084516534
0.0953476,0.19127916015
0.0955674,0.1917619488
0.0957877,0.192291088189
0.0960085,0.192863639117
0.0962299,0.193476697868
0.0964517,0.194127999584
0.096674,0.194814501953
0.0968969,0.195534027561
0.0971203,0.196284525022
0.0973442,0.197063682739
0.0975686,0.197869380373
0.0977935,0.198700098305
0.0980189,0.199553771898
0.0982449,0.200429095561
0.0984713,0.201324608359
0.0986983,0.202238899725
0.0989259,0.20317120189
0.0991539,0.204120052394
0.0993825,0.205084854643
0.0996116,0.206064855739
0.0998412,0.207059210602
0.100071,0.208067596221
0.100302,0.209089740892
0.100533,0.210124922033
0.100765,0.211173038606
0.100997,0.212233944655
0.10123,0.213307895206
0.101464,0.214394322867
0.101697,0.215493758351
0.101932,0.216605977882
0.102167,0.217731565084
0.102402,0.218870448565
0.102638,0.220023064914
0.102875,0.221189589282
0.103112,0.222370701395
0.10335,0.22356659187
0.103588,0.22477743009
0.103827,0.226004202883
0.104066,0.2272471718
0.104306,0.228506651284
0.104547,0.229783020506
0.104788,0.231077304511
0.105029,0.232389593726
0.105271,0.233720523262
0.105514,0.235070651938
0.105757,0.236440656023
0.106001,0.237830991699
0.106245,0.239242321092
0.10649,0.240675116018
0.106736,0.242130259275
0.106982,0.243608350434
0.107228,0.245109904003
0.107476,0.246636226511
0.107723,0.248187912978
0.107972,0.249765978217
0.108221,0.251371275046
0.10847,0.253005070769
0.10872,0.254668770066
0.108971,0.25636342387
0.109222,0.258090784846
0.109474,0.259852606984
0.109726,0.261650581253
0.109979,0.263486581352
0.110233,0.265363075078
0.110487,0.26728236513
0.110741,0.26924692695
0.110997,0.27125984185
0.111253,0.273323937068
0.111509,0.275442537375
0.111766,0.277619277407
0.112024,0.279857670334
0.112282,0.282161745956
0.112541,0.284535490766
0.1128,0.286982985337
0.11306,0.289508897911
0.113321,0.292117077891
0.113582,0.294811997545
0.113844,0.29759770511
0.114106,0.300478304756
0.114369,0.303456898662
0.114633,0.306536730632
0.114897,0.309720047491
0.115162,0.313008265947
0.115428,0.316401869215
0.115694,0.319899867141
0.11596,0.323500117514
0.116228,0.327199012241
0.116496,0.330990758088
0.116764,0.334867978254
0.117033,0.338821305932
0.117303,0.342839305362
0.117574,0.346908058071
0.117845,0.351012306972
0.118116,0.355134012741
0.118389,0.359253783898
0.118662,0.363350414249
0.118935,0.367401182821
0.119209,0.371382741206
0.119484,0.37527095134
0.119759,0.379041612379
0.120036,0.382671625813
0.120312,0.386139096628
0.12059,0.389424852928
0.120868,0.392513607485
0.121146,0.395394773091
0.121425,0.398063676718
0.121705,0.40052186181
0.121986,0.402777334849
0.122267,0.404843973318
0.122549,0.40673999329
0.122832,0.408486058205
0.123115,0.41010305257
0.123398,0.411610532075
0.123683,0.413024392537
0.123968,0.414357650167
0.124254,0.415619282246
0.12454,0.416815839203
0.124827,0.417952603768
0.125115,0.419034756078
0.125404,0.420068726979
0.125693,0.421062163047
0.125982,0.422024835259
0.126273,0.42296803581
0.126564,0.423903881923
0.126856,0.424844847457
0.127148,0.425803172983
0.127441,0.426790460887
0.127735,0.427816698486
0.128029,0.428890904981
0.128325,0.430019881194
0.12862,0.43120947234
0.128917,0.432463376711
0.129214,0.433784013891
0.129512,0.435172705136
0.129811,0.43662907462
0.13011,0.438152271932
0.13041,0.4397406503
0.13071,0.441391460715
0.131012,0.443102057648
0.131314,0.444869130708
0.131616,0.446689386901
0.13192,0.448559407276
0.132224,0.45047568203
0.132529,0.452435180163
0.132834,0.454434814149
0.13314,0.456471626086
0.133447,0.458543099861
0.133755,0.460646785546
0.134063,0.462780776462
0.134372,0.464943199099
0.134682,0.467132607539
0.134993,0.469347693066
0.135304,0.471587341017
0.135616,0.47385048178
0.135928,0.476136454968
0.136242,0.47844448372
0.136556,0.480773644579
0.136871,0.483123061818
0.137186,0.485491915721
0.137502,0.487878817542
0.137819,0.490282246927
0.138137,0.492700321813
0.138455,0.49513069925
0.138775,0.497570667404
0.139094,0.500016881898
0.139415,0.502465504089
0.139737,0.504912088305
0.140059,0.507351864094
0.140382,0.509779582305
0.140705,0.512189506623
0.141029,0.514576126086
0.141355,0.516933442171
0.14168,0.519255855012
